
,,Faculty,12,,Dayscholor,19,,Event Visitors,17,,CIE / Visitors,160,,,,,,,,
,Total ,,110,,Total,239,,Total,306,,Total,630,,Total,133,,,,,
,,,,,,,,,,,,,,,,,,,,
,Daily Security Report  (Campus Entry / Exit Details),,,,,,,,,,,,,,,,,,,
,3-Mar-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,38,,Staff,1,,Security,63,,Aroyga & Bank,3,,Cabs,68,,1000,,,
,,Bakul Nivas,22,,Support staff,5,,Housekeeping,15,,Vendors,19,,House maids,3,,,,,
,,Kadamba Nivas,11,,ARL & I HUB,0,,Milk & Paper,11,,Couriers,52,,Civil Vendors,25,,,,,
,,Parijat Nivas,20,,Internship,0,,Visitors,24,,Food Delivery,383,,Mess workers,16,,,,,
,,Faculty,1,,Dayscholor,0,,Event Visitors,150,,CIE / Visitors,70,,,,,,,,
,Total ,,92,,Total,6,,Total,263,,Total,527,,Total,112,,,,,
,,,,,,,,,,,,,,,,,,,,
,Daily Security Report  (Campus Entry / Exit Details),,,,,,,,,,,,,,,,,,,
,4-Mar-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,40,,Staff,75,,Security,63,,Aroyga & Bank,6,,Cabs,74,,1496,,,
,,Bakul Nivas,25,,Support staff,40,,Housekeeping,162,,Vendors,25,,House maids,18,,,,,
,,Kadamba Nivas,14,,ARL & I HUB,109,,Milk & Paper,12,,Couriers,29,,Civil Vendors,22,,,,,
,,Parijat Nivas,32,,Internship,0,,Visitors,32,,Food Delivery,444,,Mess workers,20,,,,,
,,Faculty,12,,Dayscholor,17,,Event Visitors,0,,CIE / Visitors,225,,,,,,,,
,Total ,,123,,Total,241,,Total,269,,Total,729,,Total,134,,,,,
,,,,,,,,,,,,,,,,,,,,
,Daily Security Report  (Campus Entry / Exit Details),,,,,,,,,,,,,,,,,,,
,5-Mar-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,32,,Staff,78,,Security,63,,Aroyga & Bank,13,,Cabs,282,,1700,,,
,,Bakul Nivas,22,,Support staff,41,,Housekeeping,165,,Vendors,43,,House maids,16,,,,,
,,Kadamba Nivas,11,,ARL & I HUB,110,,Milk & Paper,10,,Couriers,27,,Civil Vendors,22,,,,,
,,Parijat Nivas,25,,Internship,0,,Visitors,20,,Food Delivery,444,,Mess workers,29,,,,,
,,Faculty,14,,Dayscholor,18,,Event Visitors,0,,CIE / Visitors,215,,,,,,,,
,Total ,,104,,Total,247,,Total,258,,Total,742,,Total,349,,,,,
,,,,,,,,,,,,,,,,,,,,
,Daily Security Report  (Campus Entry / Exit Details),,,,,,,,,,,,,,,,,,,
,6-Mar-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,20,,Staff,74,,Security,63,,Aroyga & Bank,11,,Cabs,282,,1679,,,
,,Bakul Nivas,30,,Support staff,42,,Housekeeping,163,,Vendors,37,,House maids,21,,,,,
,,Kadamba Nivas,10,,ARL & I HUB,116,,Milk & Paper,11,,Couriers,22,,Civil Vendors,17,,,,,
,,Parijat Nivas,18,,Internship,0,,Visitors,34,,Food Delivery,478,,Mess workers,23,,,,,
8,,Faculty,16,,Dayscholor,15,,Event Visitors,,,CIE / Visitors,176,,,,,,,,
,Total ,,94,,Total,247,,Total,271,,Total,724,,Total,343,,,,,
,,,,,,,,,,,,,,,,,,,,
,Daily Security Report  (Campus Entry / Exit Details),,,,,,,,,,,,,,,,,,,
,7-Mar-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,37,,Staff,65,,Security,63,,Aroyga & Bank,10,,Cabs,261,,1474,,,
,,Bakul Nivas,23,,Support staff,40,,Housekeeping,161,,Vendors,41,,House maids,19,,,,,
,,Kadamba Nivas,20,,ARL & I HUB,56,,Milk & Paper,9,,Couriers,29,,Civil Vendors,17,,,,,
,,Parijat Nivas,26,,Internship,0,,Visitors,23,,Food Delivery,360,,Mess workers,25,,,,,
,,Faculty,9,,Dayscholor,25,,Event Visitors,0,,CIE / Visitors,155,,,,,,,,
,Total ,,115,,Total,186,,Total,256,,Total,595,,Total,322,,,,,
,,,,,,,,,,,,,,,,,,,,
,Daily Security Report  (Campus Entry / Exit Details),,,,,,,,,,,,,,,,,,,
,8-Mar-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,30,,Staff,1,,Security,63,,Aroyga & Bank,1,,Cabs,286,,1116,,,
,,Bakul Nivas,24,,Support staff,2,,Housekeeping,10,,Vendors,13,,House maids,11,,,,,
,,Kadamba Nivas,21,,ARL & I HUB,0,,Milk & Paper,10,,Couriers,21,,Civil Vendors,13,,,,,
,,Parijat Nivas,20,,Internship,0,,Visitors,11,,Food Delivery,467,,Mess workers,31,,,,,
,,Faculty,1,,Dayscholor,10,,Event Visitors,65,,CIE / Visitors,5,,,,,,,,
,Total ,,96,,Total,13,,Total,159,,Total,507,,Total,341,,,,,
,,,,,,,,,,,,,,,,,,,,
,Daily Security Report  (Campus Entry / Exit Details),,,,,,,,,,,,,,,,,,,
,9-Mar-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,25,,Staff,70,,Security,63,,Aroyga & Bank,5,,Cabs,246,,1489,,,
,,Bakul Nivas,24,,Support staff,40,,Housekeeping,158,,Vendors,35,,House maids,21,,,,,
,,Kadamba Nivas,15,,ARL & I HUB,52,,Milk & Paper,10,,Couriers,29,,Civil Vendors,7,,,,,
,,Parijat Nivas,23,,Internship,0,,Visitors,25,,Food Delivery,427,,Mess workers,25,,,,,
,,Faculty,9,,Dayscholor,25,,Event Visitors,0,,CIE / Visitors,155,,,,,,,,
,Total ,,96,,Total,187,,Total,256,,Total,651,,Total,299,,,,,
,,,,,,,,,,,,,,,,,,,,
,Daily Security Report  (Campus Entry / Exit Details),,,,,,,,,,,,,,,,,,,
,10-Mar-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,28,,Staff,0,,Security,63,,Aroyga & Bank,2,,Cabs,54,,841,,,
,,Bakul Nivas,16,,Support staff,4,,Housekeeping,25,,Vendors,20,,House maids,3,,,,,
,,Kadamba Nivas,10,,ARL & I HUB,0,,Milk & Paper,8,,Couriers,27,,Civil Vendors,3,,,,,
,,Parijat Nivas,18,,Internship,0,,Visitors,29,,Food Delivery,417,,Mess workers,37,,,,,
,,Faculty,0,,Dayscholor,0,,Event Visitors,67,,CIE / Visitors,10,,,,,,,,
,Total ,,72,,Total,4,,Total,192,,Total,476,,Total,97,,,,,
,,,,,,,,,,,,,,,,,,,,
,Daily Security Report  (Campus Entry / Exit Details),,,,,,,,,,,,,,,,,,,
,11-Mar-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,28,,Staff,78,,Security,63,,Aroyga & Bank,9,,Cabs,306,,1583,,,
,,Bakul Nivas,17,,Support staff,45,,Housekeeping,169,,Vendors,48,,House maids,18,,,,,
,,Kadamba Nivas,11,,ARL & I HUB,85,,Milk & Paper,11,,Couriers,30,,Civil Vendors,20,,,,,
,,Parijat Nivas,20,,Internship,0,,Visitors,37,,Food Delivery,340,,Mess workers,33,,,,,
,,Faculty,16,,Dayscholor,19,,Event Visitors,0,,CIE / Visitors,180,,,,,,,,
,Total ,,92,,Total,227,,Total,280,,Total,607,,Total,377,,,,,
,,,,,,,,,,,,,,,,,,,,
,Daily Security Report  (Campus Entry / Exit Details),,,,,,,,,,,,,,,,,,,
,12-Mar-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,30,,Staff,72,,Security,63,,Aroyga & Bank,9,,Cabs,275,,1645,,,
,,Bakul Nivas,22,,Support staff,43,,Housekeeping,165,,Vendors,57,,House maids,19,,,,,
,,Kadamba Nivas,19,,ARL & I HUB,92,,Milk & Paper,11,,Couriers,37,,Civil Vendors,9,,,,,
,,Parijat Nivas,25,,Internship,0,,Visitors,18,,Food Delivery,362,,Mess workers,38,,,,,
,,Faculty,17,,Dayscholor,20,,Event Visitors,67,,CIE / Visitors,175,,,,,,,,
,Total ,,113,,Total,227,,Total,324,,Total,640,,Total,341,,,,,
,,,,,,,,,,,,,,,,,,,,
,Daily Security Report  (Campus Entry / Exit Details),,,,,,,,,,,,,,,,,,,
,13-Mar-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,27,,Staff,77,,Security,63,,Aroyga & Bank,9,,Cabs,295,,1641,,,
,,Bakul Nivas,19,,Support staff,41,,Housekeeping,175,,Vendors,47,,House maids,15,,,,,
,,Kadamba Nivas,16,,ARL & I HUB,92,,Milk & Paper,10,,Couriers,31,,Civil Vendors,7,,,,,
,,Parijat Nivas,21,,Internship,0,,Visitors,20,,Food Delivery,340,,Mess workers,47,,,,,
,,Faculty,19,,Dayscholor,20,,Event Visitors,0,,CIE / Visitors,250,,,,,,,,
,Total ,,102,,Total,230,,Total,268,,Total,677,,Total,364,,,,,
,,,,,,,,,,,,,,,,,,,,
,Daily Security Report  (Campus Entry / Exit Details),,,,,,,,,,,,,,,,,,,
,14-Mar-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,57,,Staff,72,,Security,63,,Aroyga & Bank,9,,Cabs,246,,1734,,,
,,Bakul Nivas,10,,Support staff,46,,Housekeeping,172,,Vendors,41,,House maids,19,,,,,
,,Kadamba Nivas,2,,ARL & I HUB,90,,Milk & Paper,12,,Couriers,33,,Civil Vendors,19,,,,,
,,Parijat Nivas,15,,Internship,0,,Visitors,18,,Food Delivery,382,,Mess workers,38,,,,,
,,Faculty,16,,Dayscholor,22,,Event Visitors,92,,CIE / Visitors,260,,,,,,,,
,Total ,,100,,Total,230,,Total,357,,Total,725,,Total,322,,,,,
,,,,,,,,,,,,,,,,,,,,
,Daily Security Report  (Campus Entry / Exit Details),,,,,,,,,,,,,,,,,,,
,15-Mar-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,70,,Staff,78,,Security,63,,Aroyga & Bank,9,,Cabs,274,,1745,,,
,,Bakul Nivas,20,,Support staff,46,,Housekeeping,169,,Vendors,36,,House maids,21,,,,,
,,Kadamba Nivas,9,,ARL & I HUB,95,,Milk & Paper,11,,Couriers,27,,Civil Vendors,8,,,,,
